,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Period,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3
Przychody ze sprzedaży,3980.0,3804.0,4172.0,4471.0,6494.0,6054.0,8230.0,8218.0,10542.0,11239.0,12440.0,13747.0,15607.0,16582.0,17966.0,20173.0,21533.0,21585.0,22029.0,22830.0,22982.0,25515.0,26581.0,27779.0,29424.0,30177.0,32320.0,32356.0,36014.0,41628.0,43110.0,46220.0,48052.0,48909.0,55659.0,56130.0,61817.0,66780.0,74512.0,85900.0,88530.0,83476.0,79196.0,89368.0
Techniczny koszt wytworzenia produkcji sprzedanej,1141.0,676.0,507.0,537.0,1246.0,992.0,1232.0,1012.0,1844.0,1634.0,1952.0,2147.0,2867.0,2759.0,3049.0,2425.0,3516.0,4557.0,2557.0,3737.0,3499.0,4007.0,4419.0,4950.0,4563.0,4728.0,4226.0,5015.0,3491.0,5603.0,8980.0,7065.0,6259.0,7906.0,5188.0,8648.0,10386.0,10016.0,9436.0,12530.0,14365.0,15165.0,13609.0,18488.0
Koszty sprzedaży,233.0,256.0,253.0,351.0,901.0,421.0,1023.0,243.0,949.0,1110.0,1146.0,1492.0,1908.0,1745.0,1540.0,1752.0,1822.0,1879.0,1677.0,1661.0,1976.0,1945.0,2406.0,2505.0,3609.0,3904.0,4573.0,4524.0,6803.0,7768.0,7194.0,8224.0,8431.0,9464.0,10014.0,11194.0,13484.0,13710.0,16196.0,16037.0,14532.0,14497.0,16145.0,15139.0
Koszty ogólnego zarządu,250.0,360.0,325.0,487.0,1201.0,424.0,738.0,273.0,614.0,914.0,1161.0,643.0,1121.0,840.0,1215.0,1030.0,1230.0,1409.0,1562.0,2029.0,1533.0,1949.0,2329.0,3350.0,2485.0,3347.0,3151.0,3109.0,2025.0,2412.0,3036.0,3030.0,3809.0,3516.0,4683.0,4353.0,4623.0,4358.0,6339.0,6404.0,6395.0,5484.0,7276.0,8254.0
Zysk ze sprzedaży,2356.0,2512.0,3087.0,3096.0,3146.0,4217.0,5237.0,6690.0,7135.0,7581.0,8181.0,9465.0,9711.0,11238.0,12162.0,14966.0,14965.0,13740.0,16233.0,15403.0,15974.0,17614.0,17427.0,16974.0,18767.0,18198.0,20370.0,19708.0,23695.0,25845.0,23900.0,27901.0,29553.0,28023.0,35774.0,31935.0,33324.0,38696.0,42541.0,50929.0,53238.0,48330.0,42166.0,47487.0
Pozostałe przychody operacyjne,-3.0,3.0,-3.0,3.0,228.0,3.0,4.0,3.0,3.0,0.0,4.0,-2.0,11.0,3.0,3.0,3.0,10.0,3.0,3.0,3.0,10.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,12.0,3.0,3.0,12.0,52.0,1.0,43.0,25.0,23.0,18.0,66.0,70.0,64.0,117.0,54.0
Pozostałe koszty operacyjne,543.0,60.0,82.0,69.0,-202.0,110.0,-109.0,0.0,97.0,0.0,2.0,-2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,12.0,3.0,3.0,3.0,13.0,43.0,34.0,37.0,11.0,34.0,2.0,4.0,3.0,1102.0,14.0,7.0,65.0,7.0,7.0,12.0,86.0
Zysk operacyjny (EBIT),1810.0,2455.0,3002.0,3030.0,3576.0,4110.0,5350.0,6693.0,7041.0,7581.0,8183.0,9465.0,9720.0,11241.0,12165.0,14969.0,14974.0,13741.0,16235.0,15404.0,15982.0,17616.0,17426.0,16966.0,18768.0,18199.0,20370.0,19698.0,23655.0,25823.0,23866.0,27893.0,29531.0,28073.0,35771.0,31975.0,32247.0,38705.0,42552.0,50930.0,53301.0,48387.0,42271.0,47455.0
Przychody finansowe,33.0,3.0,9.0,16.0,32.0,43.0,28.0,354.0,-310.0,68.0,24.0,135.0,-61.0,81.0,20.0,9.0,15.0,27.0,33.0,35.0,37.0,49.0,36.0,40.0,85.0,26.0,15.0,18.0,10.0,3.0,1.0,94.0,-93.0,393.0,-393.0,0.0,1.0,96.0,-83.0,3.0,2.0,3.0,119.0,2.0
