,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,9.68,52.04,78.3,79.15,99.18,50.63,33.63,21.85,32.63,10.04,10.03,-13.44,-38.15,-28.4,-32.48,-7.07,-0.11,26.8,42.87,20.77,21.62,32.01,45.1,42.94,28.57,-10.37,-24.79,-23.31,-26.56,-19.22,-10.96,-20.49,4.18,-8.08,-19.03,-6.85,-10.69,-2.72,-3.33,-4.19,-8.17,-1.52,5.09,-0.01,2.47,5.81,12.26,24.14,22.87,16.84,7.45,1.53,3.66,-1.92,-2.23,10.56,-5.5,-20.01,-9.56,-29.54,-18.25,0.86,16.41,42.21,29.59,7.45,-16.61,-21.82,-15.82,-4.46,1.28,24.51
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,5.18,55.84,54.64,84.74,88.64,48.57,52.47,32.59,50.79,29.19,36.94,10.79,-16.62,-13.12,-18.3,-7.98,2.24,17.01,17.48,2.57,8.06,12.13,21.22,29.53,23.87,-5.47,-9.95,-7.87,-12.99,-5.86,-0.6,-6.05,1.27,2.41,-15.07,-18.18,-17.3,-22.14,-8.13,-7.47,-10.94,4.99,-4.53,9.76,6.61,5.45,9.44,-8.25,-6.41,-6.46,-11.34,5.37,8.98,-4.63,6.22,-1.03,4.36,-0.02,3.1,-4.35,-6.49,0.58,3.36,28.8,19.38,6.21,-3.87,-15.38,-6.9,-5.11,-3.88,11.53
Koszty sprzedaży,,,,,33.11,100.47,79.94,40.38,4.5,-8.62,28.4,-23.04,5.95,-17.06,-6.17,-101.32,-3.45,30.69,-10.56,5293.55,-5.99,-44.19,-18.84,72.24,-21.88,167.01,109.26,42.12,7.45,34.92,132.84,59.25,28.18,-46.98,-65.45,-62.54,264.52,-17.9,7.22,23.61,-81.91,270.05,27.76,-45.73,42.31,-78.37,-28.42,2.09,-3.7,-17.06,18.59,-234.53,-57.78,-39.18,-70.94,127.56,0.9,-7.98,9.28,-16.58,-22.78,-73.68,-52.88,-30.32,-25.86,72.07,29.93,58.79,2.07,65.26,3.14,10.89,58.23,-23.38,10.15,35.02
Koszty ogólnego zarządu,,,,,4.26,17.04,36.44,45.43,10.7,-8.93,-8.56,14.26,20.15,116.08,-12.48,-57.71,-6.87,-41.59,28.15,86.72,9.57,3.05,4.76,-4.74,4.24,10.68,31.13,58.48,9.2,1.29,5.72,-19.34,23.84,0.91,9.63,16.76,1.69,28.52,0.58,10.54,11.62,23.17,8.1,-1.62,1.32,-11.34,18.72,-37.27,-16.44,-20.13,-24.63,58.59,11.66,20.39,12.65,7.08,19.24,11.16,17.21,9.99,10.66,-19.44,-23.51,0.95,-10.36,26.94,25.33,28.72,12.86,29.1,21.81,0.79,0.75,-10.84,-2.62,1.57
Zysk ze sprzedaży,,,,,19.94,46.2,138.31,87.47,187.09,83.44,14.71,10.67,4.21,-37.36,-34.51,-50.83,-103.31,-93.35,-97.85,-40.39,-179.64,837.31,4316.98,174.74,381.64,148.46,133.49,82.97,90.71,-35.47,-70.02,-72.81,-135.81,-72.4,-48.91,-110.32,-111.52,-194.65,-93.81,589.49,115.57,102.47,363.71,67.82,-6.1,4821.43,322.4,-34.45,-43.23,52.1,67.26,464.75,2285.69,202.06,110.42,-20.2,-15.09,1.18,-23.84,38.63,-44.68,-61.61,-36.91,-78.13,-98.82,-15.45,70.04,152.21,6468.12,-7.35,-64.46,-59.1,-123.37,10.71,42.85,152.62
Pozostałe przychody operacyjne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.57,9.57,-52.67,-22.69,-96.51,-70.31,-67.23,105.02,193.99,95.29,13.79,-51.85,22.49,-44.58,174.24,950.0,96.66,294.57,-54.88,-255.31,-22.45,-72.54,-155.1,144.34,-47.16,-5.02,-4.44,416.49,-177.02
Pozostałe koszty operacyjne,,,,,-99.28,-166.81,386.76,-14.0,13500.0,247.1,-89.74,910.08,103.68,299.12,5412.5,168.0,7.22,-89.23,-93.97,-80.93,51.85,687.76,963.91,-112.46,-4.21,-304.4,-44.38,196.39,-8.33,184.47,-68.61,-1050.0,-9.34,-67.74,-74.49,-62.24,-146.24,-288.37,298.41,41.52,-37.35,50.49,-178.49,517.48,296.49,277.81,-489.34,-10.6,-37.05,-18.51,25.67,49.31,433.69,326.16,293.74,-52.81,-0.27,-67.08,-101.02,40.51,-20.99,61.96,-1011.76,-99.62,-88.2,-83.18,282.54,14470.0,3908.57,709.01,444.35,-383.18,-93.94,-56.9,-44.83,104.41
Zysk operacyjny (EBIT),,,,,23.58,54.14,128.13,89.47,184.71,78.1,17.26,2.63,3.36,-41.85,-46.12,-70.09,-105.17,-93.73,-98.69,-8.44,-135.09,860.83,7695.45,221.89,296.66,206.87,157.95,81.2,101.57,-48.27,-70.06,-69.5,-142.12,-73.05,-48.12,-92.14,-83.85,-178.91,-99.81,602.12,119.7,123.31,17375.0,49.28,3.96,718.26,283.19,3.28,-12.55,34.67,54.41,167.46,921.89,160.62,96.28,-9.83,-14.58,13.84,-15.99,37.8,-48.37,-65.12,-33.72,-69.68,-79.48,-2.79,52.85,92.47,-176.72,-44.74,-74.71,-18.43,-42.77,53.1,110.07,25.38
Przychody finansowe,,,,,1062.86,500.0,-99.71,19.63,-46.93,120.0,23700.0,502.29,5.09,-68.18,-90.55,-89.75,79.3,-191.43,1326.67,914.81,115.72,-601.04,-36.14,-56.57,-98.06,106.39,-76.59,-28.15,911.76,1272.09,487.5,161.99,-34.88,-65.59,-83.69,-78.35,-1.79,-26.6,58.7,69.07,240.0,-10.07,-41.78,226.22,13.1,146.27,435.29,-20.19,-20.09,-5.76,-44.84,-47.07,36.98,147.59,15.54,21.68,1.08,-91.04,13.1,-6.18,-35.47,453.62,0.0,-206.98,56.62,-81.94,154.57,19.2,19.66,-37.68,264.43,768.61,70.49,3746.51,-77.82,-43.26
