,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,22493.0,24141.0,23649.0,28310.0,24670.0,36703.0,42165.0,50717.0,49138.0,55286.0,56346.0,61797.0,65174.0,60838.0,61999.0,53494.0,40312.0,43562.0,41862.0,49710.0,40267.0,55237.0,59810.0,60037.0,48971.0,72918.0,86783.0,85818.0,62962.0,65354.0,65266.0,65811.0,46239.0,52794.0,58111.0,52327.0,48174.0,48526.0,47052.0,48740.0,43025.0,47204.0,45486.0,46696.0,39511.0,46486.0,47799.0,46691.0,40486.0,49188.0,53657.0,57963.0,49746.0,57471.0,57653.0,58851.0,51567.0,56366.0,56365.0,65068.0,48733.0,45089.0,50975.0,45846.0,39839.0,45477.0,59339.0,65196.0,51628.0,48864.0,49482.0,50969.0,43462.0,46686.0,50117.0,63460.0
Techniczny koszt wytworzenia produkcji sprzedanej,14704.0,14661.0,14360.0,16255.0,15465.0,22847.0,22207.0,30030.0,29173.0,33944.0,33858.0,39817.0,43989.0,43852.0,46366.0,44112.0,36676.0,38097.0,37879.0,40594.0,37497.0,44578.0,44502.0,41639.0,40521.0,49985.0,53944.0,53937.0,50194.0,47250.0,48577.0,49690.0,43676.0,44481.0,48285.0,46684.0,44231.0,45552.0,41008.0,38199.0,36580.0,35466.0,37675.0,35344.0,32579.0,37235.0,35970.0,38795.0,34731.0,39266.0,39364.0,35595.0,32506.0,36730.0,34899.0,37507.0,35425.0,35031.0,37070.0,37122.0,36970.0,35024.0,38221.0,35509.0,34570.0,35226.0,39505.0,45736.0,41269.0,37413.0,37978.0,38700.0,38423.0,35502.0,36506.0,43161.0
Koszty sprzedaży,1220.0,1053.0,638.0,2167.0,1624.0,2111.0,1148.0,3042.0,1697.0,1929.0,1474.0,2341.0,1798.0,1600.0,1383.0,-31.0,1736.0,2091.0,1237.0,1610.0,1632.0,1167.0,1004.0,2773.0,1275.0,3116.0,2101.0,3941.0,1370.0,4204.0,4892.0,6276.0,1756.0,2229.0,1690.0,2351.0,6401.0,1830.0,1812.0,2906.0,1158.0,6772.0,2315.0,1577.0,1648.0,1465.0,1657.0,1610.0,1587.0,1215.0,1965.0,-2166.0,670.0,739.0,571.0,597.0,676.0,680.0,624.0,498.0,522.0,179.0,294.0,347.0,387.0,308.0,382.0,551.0,395.0,509.0,394.0,611.0,625.0,390.0,434.0,825.0
Koszty ogólnego zarządu,1901.0,1972.0,1773.0,2122.0,1982.0,2308.0,2419.0,3086.0,2194.0,2102.0,2212.0,3526.0,2636.0,4542.0,1936.0,1491.0,2455.0,2653.0,2481.0,2784.0,2690.0,2734.0,2599.0,2652.0,2804.0,3026.0,3408.0,4203.0,3062.0,3065.0,3603.0,3390.0,3792.0,3093.0,3950.0,3958.0,3856.0,3975.0,3973.0,4375.0,4304.0,4896.0,4295.0,4304.0,4361.0,4341.0,5099.0,2700.0,3644.0,3467.0,3843.0,4282.0,4069.0,4174.0,4329.0,4585.0,4852.0,4640.0,5074.0,5043.0,5369.0,3738.0,3881.0,5091.0,4813.0,4745.0,4864.0,6553.0,5432.0,6126.0,5925.0,6605.0,5473.0,5462.0,5770.0,6709.0
Zysk ze sprzedaży,4668.0,6455.0,6878.0,7766.0,5599.0,9437.0,16391.0,14559.0,16074.0,17311.0,18802.0,16113.0,16751.0,10844.0,12314.0,7922.0,-555.0,721.0,265.0,4722.0,-1552.0,6758.0,11705.0,12973.0,4371.0,16791.0,27330.0,23737.0,8336.0,10835.0,8194.0,6455.0,-2985.0,2991.0,4186.0,-666.0,-6314.0,-2831.0,259.0,3260.0,983.0,70.0,1201.0,5471.0,923.0,3445.0,5073.0,3586.0,524.0,5240.0,8485.0,20252.0,12501.0,15828.0,17854.0,16162.0,10614.0,16015.0,13597.0,22405.0,5872.0,6148.0,8579.0,4899.0,69.0,5198.0,14588.0,12356.0,4532.0,4816.0,5185.0,5053.0,-1059.0,5332.0,7407.0,12765.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3482.0,784.0,1122.0,-877.0,5243.0,859.0,531.0,-1076.0,183.0,255.0,174.0,54.0,538.0,498.0,198.0,26.0,659.0,276.0,543.0,273.0,1296.0,1089.0,245.0,-424.0,1005.0,299.0,-135.0,188.0,531.0,284.0,-141.0,971.0,-409.0
Pozostałe koszty operacyjne,138.0,232.0,-136.0,150.0,1.0,-155.0,390.0,129.0,136.0,228.0,40.0,1303.0,277.0,910.0,2205.0,3492.0,297.0,98.0,133.0,666.0,451.0,772.0,1415.0,-83.0,432.0,-1578.0,787.0,80.0,396.0,1333.0,247.0,-760.0,359.0,430.0,63.0,-1233.0,-166.0,-810.0,251.0,-721.0,-228.0,-401.0,-197.0,3010.0,448.0,713.0,-1161.0,2691.0,282.0,581.0,-863.0,4018.0,1505.0,2476.0,1672.0,1896.0,1501.0,815.0,-17.0,2664.0,1186.0,1320.0,-189.0,10.0,140.0,222.0,345.0,1457.0,5612.0,1796.0,1878.0,-4126.0,340.0,774.0,1036.0,182.0
Zysk operacyjny (EBIT),4530.0,6223.0,7014.0,7616.0,5598.0,9592.0,16001.0,14430.0,15938.0,17083.0,18762.0,14810.0,16474.0,9934.0,10109.0,4430.0,-852.0,623.0,132.0,4056.0,-2003.0,5986.0,10290.0,13056.0,3939.0,18369.0,26543.0,23657.0,7940.0,9502.0,7947.0,7215.0,-3344.0,2561.0,4123.0,567.0,-6148.0,-2021.0,8.0,3981.0,1211.0,471.0,1398.0,5943.0,1259.0,3854.0,5357.0,6138.0,1101.0,5190.0,8272.0,16417.0,11251.0,13526.0,16236.0,14804.0,9611.0,15398.0,13640.0,20400.0,4962.0,5371.0,9041.0,6185.0,1018.0,5221.0,13819.0,11904.0,-781.0,2885.0,3495.0,9710.0,-1115.0,4417.0,7342.0,12174.0
Przychody finansowe,35.0,25.0,686.0,-163.0,407.0,150.0,2.0,-131.0,216.0,330.0,476.0,527.0,227.0,105.0,45.0,54.0,407.0,-96.0,642.0,548.0,878.0,-673.0,410.0,238.0,17.0,43.0,96.0,171.0,172.0,590.0,564.0,448.0,112.0,203.0,92.0,97.0,110.0,149.0,146.0,164.0,374.0,134.0,85.0,535.0,423.0,330.0,455.0,427.0,338.0,311.0,251.0,226.0,463.0,770.0,290.0,275.0,468.0,69.0,328.0,258.0,302.0,382.0,328.0,-276.0,473.0,69.0,835.0,-223.0,566.0,43.0,3043.0,1491.0,965.0,1654.0,675.0,846.0
Koszty finansowe,812.0,1208.0,1196.0,459.0,1071.0,1233.0,1491.0,1192.0,1742.0,1449.0,1468.0,1351.0,1979.0,2573.0,2919.0,3628.0,3270.0,2610.0,2662.0,3576.0,3637.0,3157.0,3438.0,3863.0,3092.0,2952.0,2418.0,2867.0,2159.0,2600.0,1991.0,1623.0,1197.0,713.0,879.0,722.0,789.0,1129.0,47.0,606.0,1703.0,-159.0,-12.0,1055.0,820.0,-762.0,571.0,218.0,506.0,32.0,-33.0,748.0,66.0,-22.0,462.0,-378.0,443.0,115.0,630.0,373.0,462.0,305.0,466.0,102.0,406.0,-107.0,550.0,-249.0,733.0,-34.0,1220.0,843.0,408.0,953.0,621.0,705.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,57.0,104.0,111.0,84.0,47.0,63.0,-114.0,24.0,-279.0,-137.0,-235.0,-77.0,-138.0,-146.0,-206.0,-188.0,-50.0,-40.0,-90.0,-159.0,-193.0,-128.0,-27.0,-68.0,77.0,-66.0,-114.0,-57.0,-122.0,-23.0,-72.0,-14.0,-159.0,-112.0,-281.0,0.0,-209.0,-49.0,359.0,33.0,107.0,170.0,367.0,295.0,44.0,84.0,52.0,54.0,10.0,-15.0,-99.0,-176.0,-63.0,14.0,-422.0,-11.0,88.0,114.0,236.0,187.0,500.0,145.0,101.0
Zysk z działalności gospodarczej,3753.0,5040.0,6504.0,6994.0,4934.0,8509.0,14512.0,13107.0,14412.0,15964.0,17770.0,13986.0,14635.0,7523.0,7339.0,967.0,-3631.0,-2036.0,-1825.0,914.0,-4738.0,1877.0,7125.0,9196.0,787.0,15322.0,24075.0,20755.0,5765.0,7442.0,6480.0,5950.0,-4588.0,1858.0,3208.0,-85.0,-6895.0,-2924.0,41.0,3425.0,-175.0,642.0,1472.0,5351.0,848.0,4787.0,5129.0,6066.0,933.0,5260.0,8507.0,16254.0,11681.0,14425.0,16234.0,15824.0,9931.0,15396.0,13422.0,20337.0,4856.0,5458.0,8888.0,5708.0,909.0,5334.0,14118.0,11508.0,-959.0,3050.0,5432.0,10594.0,-371.0,5618.0,7541.0,12416.0
