,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,119485.0,167264.0,116633.0,101190.0,75195.0,88704.0,70356.0,158456.0,125519.0,160652.0,185652.0,186037.0,139906.0,228260.0,271255.0,299983.0,141623.0,225470.0,250469.0,220258.0,195461.0,240245.0,256087.0,228755.0,201343.0,260564.0,286937.0,330859.0,248675.0,326112.0,308712.0,359361.0,221440.0,280111.0,316746.0,430942.0,265072.0,408132.0,397815.0,558266.0,371574.0,442744.0,412467.0,431837.0,329574.0,395040.0,472790.0,462253.0,346886.0,386587.0,441570.0,507294.0,307458.0,386109.0,392817.0,626006.0,419067.0,600298.0,575882.0,663065.0,523674.0,711927.0,597704.0,596463.0
Techniczny koszt wytworzenia produkcji sprzedanej,108463.0,152308.0,102535.0,85021.0,66902.0,78585.0,63122.0,141085.0,114437.0,149817.0,170797.0,169265.0,131127.0,216391.0,255968.0,273762.0,129718.0,214130.0,235090.0,209444.0,185711.0,224036.0,239613.0,212879.0,188946.0,244002.0,273153.0,306889.0,236034.0,312335.0,296005.0,331248.0,207085.0,261996.0,295205.0,400982.0,247296.0,388075.0,387500.0,503015.0,335880.0,422875.0,393451.0,410303.0,313081.0,362280.0,436165.0,418956.0,321876.0,354593.0,401739.0,465402.0,287490.0,361804.0,370169.0,559262.0,384556.0,545077.0,539523.0,640901.0,494327.0,682018.0,610644.0,680602.0
Koszty sprzedaży,0.0,0.0,0.0,899.0,364.0,962.0,568.0,756.0,664.0,888.0,862.0,874.0,646.0,810.0,759.0,734.0,1006.0,1007.0,-430.0,3085.0,1882.0,1437.0,543.0,598.0,1261.0,1403.0,1807.0,1350.0,996.0,1864.0,449.0,4316.0,1757.0,960.0,1495.0,4520.0,2565.0,2525.0,-2204.0,7729.0,2505.0,2772.0,2294.0,1703.0,1527.0,2323.0,1838.0,2740.0,2245.0,2207.0,2221.0,8157.0,2981.0,3218.0,2744.0,5298.0,3754.0,6398.0,4703.0,5754.0,2571.0,2262.0,2497.0,8179.0
Koszty ogólnego zarządu,3704.0,4953.0,4101.0,5450.0,3362.0,3982.0,3826.0,5054.0,4193.0,5006.0,6033.0,4853.0,4753.0,6538.0,5134.0,5968.0,5991.0,6881.0,6527.0,7147.0,5995.0,6264.0,6409.0,7777.0,6702.0,6284.0,6390.0,9711.0,6553.0,6861.0,7216.0,11680.0,8056.0,7603.0,8075.0,13178.0,10032.0,10045.0,8836.0,11549.0,9713.0,11664.0,10120.0,14799.0,11512.0,12454.0,12143.0,17634.0,13298.0,12246.0,11438.0,19472.0,12047.0,12766.0,12420.0,23910.0,14463.0,14932.0,13968.0,14924.0,13742.0,14370.0,13959.0,29244.0
Zysk ze sprzedaży,7318.0,10003.0,9997.0,9820.0,4567.0,5175.0,2840.0,11561.0,6225.0,4941.0,7960.0,11045.0,3380.0,4521.0,9394.0,19519.0,4908.0,3452.0,9282.0,582.0,1873.0,8508.0,9522.0,7501.0,4434.0,8875.0,5587.0,12909.0,5092.0,5052.0,5042.0,12117.0,4542.0,9552.0,11971.0,12262.0,5179.0,7487.0,3683.0,35973.0,23476.0,5433.0,6602.0,5032.0,3454.0,17983.0,22644.0,22923.0,9467.0,17541.0,26172.0,14263.0,4940.0,8321.0,7484.0,37536.0,16294.0,33891.0,17688.0,1486.0,13034.0,13277.0,-29396.0,-121562.0
Pozostałe przychody operacyjne,67.0,254.0,153.0,282.0,71.0,247.0,3446.0,2842.0,236.0,548.0,330.0,3167.0,425.0,1284.0,602.0,1980.0,768.0,659.0,974.0,5738.0,2834.0,533.0,497.0,6104.0,1044.0,1799.0,924.0,1802.0,2580.0,1918.0,1830.0,1757.0,5474.0,1889.0,2331.0,1881.0,923.0,1908.0,2973.0,3429.0,1643.0,-1278.0,3115.0,-1198.0,676.0,-3302.0,-6691.0,4112.0,-442.0,-1646.0,619.0,8736.0,834.0,7139.0,9971.0,1600.0,3256.0,2219.0,1706.0,1297.0,1390.0,3514.0,2716.0,3488.0
Pozostałe koszty operacyjne,222.0,834.0,45.0,5316.0,160.0,353.0,1160.0,2430.0,121.0,330.0,504.0,3740.0,215.0,726.0,54.0,6348.0,433.0,793.0,1270.0,3658.0,370.0,1468.0,2018.0,5420.0,2741.0,2118.0,1713.0,5664.0,560.0,1254.0,842.0,9257.0,2101.0,3883.0,509.0,10135.0,1156.0,751.0,1130.0,34894.0,1286.0,1556.0,2489.0,2713.0,641.0,6815.0,1000.0,13375.0,1517.0,2650.0,1659.0,9093.0,690.0,2265.0,1493.0,11897.0,2224.0,3736.0,2407.0,5718.0,1517.0,1956.0,2161.0,18636.0
Zysk operacyjny (EBIT),7163.0,9423.0,10105.0,4786.0,4478.0,5069.0,5126.0,11973.0,6340.0,5159.0,7786.0,10472.0,3590.0,5079.0,9942.0,15151.0,5243.0,3318.0,8986.0,2662.0,4337.0,7573.0,8001.0,8185.0,2737.0,8556.0,4798.0,9047.0,7112.0,5716.0,6030.0,4617.0,7915.0,7558.0,13793.0,4008.0,4946.0,8644.0,5526.0,4508.0,23833.0,2599.0,7228.0,1121.0,3489.0,7866.0,14953.0,13660.0,7508.0,13245.0,25132.0,13906.0,5084.0,13195.0,15962.0,27239.0,17326.0,32374.0,16987.0,-2935.0,12907.0,14835.0,-28841.0,-136710.0
Przychody finansowe,812.0,734.0,891.0,4340.0,1729.0,330.0,317.0,428.0,141.0,2263.0,504.0,671.0,1401.0,521.0,-864.0,3133.0,1548.0,614.0,845.0,1442.0,1410.0,1339.0,1161.0,1352.0,3187.0,1143.0,3869.0,2050.0,2613.0,2222.0,6733.0,1670.0,2679.0,7263.0,123.0,3935.0,3463.0,-2412.0,7051.0,-403.0,1638.0,2584.0,-1019.0,1586.0,1608.0,1085.0,1258.0,876.0,2299.0,1317.0,1314.0,1887.0,4812.0,-1979.0,1763.0,2569.0,5764.0,5473.0,5107.0,-4122.0,3001.0,4796.0,6250.0,5985.0
