,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,67.23,45.02,93.93,30.15,28.52,34.78,71.61,44.1,51.23,51.82,11.72,18.57
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,80.13,43.32,97.93,25.34,21.4,20.69,30.63,-3.85,1.12,11.42,-5.79,26.88
Koszty sprzedaży,,,,,83.82,116.94,366.78,94.38,181.12,232.39,676.96,284.99,488.84,293.95,8.06,30.96
Koszty ogólnego zarządu,,,,,47.64,68.73,280.45,97.52,133.97,159.77,83.24,175.5,132.55,77.02,31.74,-14.6
Zysk ze sprzedaży,,,,,34.06,37.0,7.06,7.69,-0.38,6.6,126.9,80.22,109.67,115.53,49.98,34.86
Pozostałe przychody operacyjne,,,,,88.0,-86.7,1317.95,-1375.86,1472.22,-40.0,-168.72,-14.59,-206.88,1980.0,-193.16,-222.64
Pozostałe koszty operacyjne,,,,,-75.0,-87.11,,-23.65,23000.0,56.0,-96.85,-123.45,-71.86,-43.59,2450.0,237.74
Zysk operacyjny (EBIT),,,,,37.85,41.82,14.17,3.71,0.13,6.1,105.02,88.98,104.36,120.73,44.92,28.66
Przychody finansowe,,,,,-77.27,-81.82,2200.0,162.04,32280.0,-20100.0,207.14,-45.13,-56.58,864.75,-3076.74,9588.83
Koszty finansowe,,,,,147.34,151.4,233.11,-32.86,25.59,222.67,1346.45,-585.95,333.28,107.71,-58.55,250.07
Pozostałe przychody (koszty),,,,,-3800.0,85.45,2250.0,-26.51,325.68,431.25,239.36,441.9,-113.77,316.98,-215.36,131.2
Zysk z działalności gospodarczej,,,,,30.96,40.12,10.55,9.72,27.75,-18.8,2.7,126.63,48.68,267.45,87.13,104.03
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,30.96,40.12,10.55,9.72,27.75,-18.8,2.7,126.63,48.68,267.45,87.13,104.03
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,,,,27.85,35.59,-0.52,9.62,12.49,-14.83,-8.79,144.24,45.3,266.4,196.79,94.1
Zysk netto akcjonariuszy jednostki dominującej,,,,,27.85,35.59,0.1,10.41,13.38,-14.74,-10.15,141.7,43.93,264.66,201.43,93.27
Aktywa trwałe,,,,,,,,65.96,66.63,642.58,355.89,342.09,333.33,-5.17,-3.19,-8.62
Wartości niematerialne i prawne,,,,,,,,70.38,72.07,754.19,401.4,398.3,385.63,-4.79,-0.46,-7.15
Rzeczowe składniki majątku trwałego,,,,,,,,107.67,82.25,665.91,396.77,225.75,269.04,-0.27,-1.97,14.62
Należności długoterminowe,,,,,,,,,,,,,,-100.0,-100.0,21.75
Inwestycje długoterminowe,,,,,,,,31.85,34.59,34.73,9.01,4.52,1.82,-19.63,-98.06,-99.45
Pozostałe aktywa trwałe,,,,,,,,11.73,8.57,-22.08,-28.24,-45.01,-85.99,-76.48,-16.2,101.19
Aktywa obrotowe,,,,,,,,402.45,339.41,-65.79,-54.23,-51.98,-50.97,45.28,19.16,17.23
Zapasy,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,,,,38.67,32.21,34.92,19.74,1.08,-7.62,-0.96,-3.63,5.37
Inwestycje krótkoterminowe,,,,,,,,1112.0,767.77,-80.76,-68.29,-64.4,-61.09,93.88,11.38,24.99
Środki pieniężne i inne aktywa pieniężne,,,,,,,,899.65,592.67,-83.0,-62.5,-58.01,-54.02,107.42,13.15,29.0
Pozostałe aktywa obrotowe,,,,,,,,-16.71,-33.36,131.69,8.25,183.92,143.8,-15.78,31.53,2.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,,,183.33,171.03,113.76,105.28,98.33,94.88,0.86,-0.14,-4.75
Kapitał własny akcjonariuszy jednostki dominującej,,,,,45.15,1126.09,866.1,700.47,570.7,74.65,72.12,72.79,67.8,-0.27,7.94,2.77
Kapitał (fundusz) podstawowy,,,,,,,,23.41,27.68,20.33,20.33,20.33,20.33,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,78.0,0.0,0.0,12.99,12.99,23.92,23.92,14.1,14.1
Kapitał (fundusz) zapasowy,,,,,,,,4413.75,4413.75,76.45,76.44,76.13,76.13,0.74,0.76,0.77
Udziały niekontrolujące,,,,,,,,,,,54.65,3.96,12.79,124.81,103.8,99.65
Zobowiązania długoterminowe,,,,,,,,-5.74,-6.06,275.35,289.75,242.28,243.8,-15.91,-20.73,-28.86
Z tytułu dostaw i usług,,,,,,,,52.03,19.42,108.33,90.03,15.34,14.13,-30.77,-28.49,7.63
Kredyty i pożyczki,,,,,,,,-0.06,-0.14,148.42,67.96,219.48,222.37,19.11,29.6,-22.3
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,111.56,97.21,276.97,158.53,89.77,107.07,11.07,-9.94,27.76
Inne zobowiązania długoterminowe,,,,,,,,49.88,65.23,284.64,248.69,150.18,151.25,6.75,-13.8,-0.01
Zobowiązania krótkoterminowe,,,,,,,,41.59,26.15,126.73,72.97,74.14,82.65,44.24,8.4,6.97
Inne zobowiązania krótkoterminowe,,,,,,,,45.22,73.45,149.72,24.49,155.7,161.32,450.68,118.91,31.25
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,
Pasywa razem,,,,,402.01,1600.38,1279.69,183.33,171.03,113.76,105.28,98.33,94.88,0.86,-0.14,-4.75
Przepływy pieniężne z działalności operacyjnej,,,,,43.78,-59.72,638.67,40.99,-6.12,70.31,201.15,55.77,124.85,104.27,16.54,66.88
Amortyzacja,,,,,43.1,75.14,109.78,61.66,69.77,67.4,163.67,107.12,123.29,139.76,18.2,34.05
Przepływy pieniężne z działalności inwestycyjnej,,,,,93.73,-135.73,-10464.15,90.92,-584.3,-26594.04,97.57,434.15,-93.18,100.13,-27.93,213.07
CAPEX (niematerialne i rzeczowe),,,,,33.92,135.47,161.4,312.02,194.33,110.44,12.81,-2.92,106.87,-55.07,52.24,6.47
Przepływy pieniężne z działalności finansowej,,,,,-188.5,1490.96,87.76,-125.24,-18.27,-18.59,-4219.32,-266.79,-209.66,-108.13,-786.98,-82.48
Emisja akcji,,,,,,,,,,-100.0,100.0,-100.0,,,,
Dywidenda,,,,,,45.83,,,,-100.0,,,,,,
Przepływy pieniężne razem,,,,,328.28,3859.82,-2452.25,-22.08,-38.9,-157.5,119.53,39.33,74.24,108.68,-223.6,163.32
