,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,23033.0,27330.0,22842.0,43390.0,38518.0,39634.0,44297.0,56470.0,49504.0,53419.0,76020.0,81375.0,74863.0,81099.0,84928.0,96487.0
Techniczny koszt wytworzenia produkcji sprzedanej,15642.0,19488.0,15446.0,30482.0,28176.0,27931.0,30572.0,38205.0,34207.0,33709.0,39936.0,36733.0,34590.0,37559.0,37623.0,46608.0
Koszty sprzedaży,340.0,360.0,304.0,1193.0,625.0,781.0,1419.0,2319.0,1757.0,2596.0,11025.0,8928.0,10346.0,10227.0,11914.0,11692.0
Koszty ogólnego zarządu,1946.0,2117.0,1724.0,3707.0,2873.0,3572.0,6559.0,7322.0,6722.0,9279.0,12019.0,20172.0,15632.0,16426.0,15834.0,17227.0
Zysk ze sprzedaży,5105.0,5365.0,5368.0,8008.0,6844.0,7350.0,5747.0,8624.0,6818.0,7835.0,13040.0,15542.0,14295.0,16887.0,19557.0,20960.0
Pozostałe przychody operacyjne,-150.0,188.0,39.0,29.0,-18.0,25.0,553.0,-370.0,247.0,15.0,-380.0,-424.0,-264.0,312.0,-1114.0,-1368.0
Pozostałe koszty operacyjne,4.0,388.0,0.0,296.0,1.0,50.0,127.0,226.0,231.0,78.0,4.0,-53.0,65.0,44.0,102.0,73.0
Zysk operacyjny (EBIT),4951.0,5165.0,5407.0,7741.0,6825.0,7325.0,6173.0,8028.0,6834.0,7772.0,12656.0,15171.0,13966.0,17155.0,18341.0,19519.0
Przychody finansowe,22.0,22.0,-2.0,137.0,5.0,4.0,42.0,359.0,1619.0,-800.0,129.0,197.0,703.0,6118.0,-3840.0,19087.0
Koszty finansowe,207.0,179.0,148.0,636.0,512.0,450.0,493.0,427.0,643.0,1452.0,7131.0,-2075.0,2786.0,3016.0,2956.0,3114.0
Pozostałe przychody (koszty),2.0,-110.0,4.0,-83.0,-74.0,-16.0,94.0,-105.0,167.0,53.0,319.0,359.0,-23.0,221.0,-368.0,830.0
Zysk z działalności gospodarczej,4768.0,4898.0,5261.0,7159.0,6244.0,6863.0,5816.0,7855.0,7977.0,5573.0,5973.0,17802.0,11860.0,20478.0,11177.0,36322.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,4768.0,4898.0,5261.0,7159.0,6244.0,6863.0,5816.0,7855.0,7977.0,5573.0,5973.0,17802.0,11860.0,20478.0,11177.0,36322.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,-628.0
Zysk netto,4571.0,4173.0,4812.0,5860.0,5844.0,5658.0,4787.0,6424.0,6574.0,4819.0,4366.0,15690.0,9552.0,17657.0,12958.0,30455.0
Zysk netto akcjonariuszy jednostki dominującej,4571.0,4173.0,4812.0,5860.0,5844.0,5658.0,4817.0,6470.0,6626.0,4824.0,4328.0,15638.0,9537.0,17591.0,13046.0,30223.0
Aktywa trwałe,0.0,0.0,0.0,68017.0,67819.0,67797.0,110230.0,112882.0,113009.0,503444.0,502523.0,499036.0,489706.0,477434.0,486511.0,456003.0
Wartości niematerialne i prawne,0.0,0.0,0.0,54800.0,54556.0,54812.0,93262.0,93368.0,93877.0,468197.0,467615.0,465253.0,455898.0,445765.0,465474.0,431990.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,2934.0,3059.0,2781.0,4176.0,6093.0,5575.0,21300.0,20745.0,19848.0,20574.0,21243.0,20337.0,22750.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,494.0,285.0,76.0,0.0,0.0,347.0
Inwestycje długoterminowe,0.0,0.0,0.0,9601.0,9527.0,9511.0,12052.0,12659.0,12822.0,12814.0,13138.0,13231.0,13055.0,10299.0,255.0,73.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,682.0,677.0,693.0,740.0,762.0,735.0,540.0,531.0,419.0,103.0,127.0,445.0,843.0
Aktywa obrotowe,0.0,0.0,0.0,36435.0,42045.0,199673.0,173186.0,183066.0,184750.0,68313.0,79261.0,87908.0,90579.0,99243.0,94446.0,103052.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,69.0,0.0
Należności krótkoterminowe,0.0,0.0,0.0,23262.0,21955.0,22715.0,25829.0,32258.0,29026.0,30647.0,30927.0,32605.0,26814.0,30354.0,29805.0,34357.0
Inwestycje krótkoterminowe,0.0,0.0,0.0,12389.0,17767.0,175254.0,145259.0,150155.0,154176.0,33718.0,46063.0,53449.0,59991.0,65373.0,51306.0,66804.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,0.0,11684.0,17363.0,174845.0,111983.0,116799.0,120269.0,29723.0,41997.0,49040.0,55294.0,61651.0,47521.0,63261.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,784.0,2323.0,1704.0,2098.0,653.0,1548.0,3948.0,2271.0,1854.0,3774.0,3325.0,2987.0,1891.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10279.0,0.0
