,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,2625.0,2187.0,5177.0,4626.0,2241.0,5160.0,3051.0,220787.0,64666.0,124653.0,55976.0,155217.0,53615.0,162773.0,80706.0,109459.0,28376.0,63264.0,39749.0,112669.0,40978.0,60382.0,88441.0,104616.0,46681.0,66134.0,71039.0,88721.0,40205.0,63382.0,66302.0,118438.0,77678.0,78330.0,105860.0,110006.0,85125.0,88427.0,88669.0,110302.0,115816.0,90867.0,120614.0,123566.0,44646.0,48379.0,46406.0,69858.0,58355.0,54506.0,49071.0,85493.0,53529.0,63946.0,75826.0,126507.0,62322.0,93146.0,109476.0,150035.0,85352.0,88765.0,92956.0,191429.0,102555.0,99114.0,128801.0,171738.0,95929.0,142872.0,150047.0,176823.0,112505.0,80528.0,112290.0,228779.0
Techniczny koszt wytworzenia produkcji sprzedanej,2300.0,1783.0,4648.0,3906.0,1549.0,4759.0,2536.0,186689.0,57886.0,118473.0,44244.0,107391.0,45778.0,150690.0,70308.0,88507.0,25111.0,53895.0,34961.0,100271.0,35255.0,51318.0,78562.0,86584.0,36341.0,55256.0,64157.0,69661.0,33884.0,56072.0,55783.0,97428.0,65021.0,61297.0,89139.0,95560.0,71760.0,74675.0,78742.0,91162.0,94423.0,75677.0,102598.0,98881.0,35402.0,37531.0,36302.0,54177.0,46177.0,41687.0,41335.0,67884.0,45537.0,53301.0,66826.0,101476.0,53317.0,79779.0,95536.0,129276.0,73645.0,76546.0,82175.0,161198.0,88991.0,84874.0,111572.0,143332.0,86116.0,122043.0,126437.0,154031.0,102085.0,67810.0,97097.0,192743.0
Koszty sprzedaży,98.0,117.0,130.0,199.0,105.0,147.0,98.0,10992.0,1503.0,3570.0,2958.0,9417.0,2723.0,3796.0,3199.0,5832.0,2835.0,3710.0,3121.0,4870.0,3152.0,4129.0,3619.0,4362.0,3031.0,3252.0,3098.0,4610.0,3165.0,2389.0,3510.0,6627.0,3698.0,3426.0,4427.0,4211.0,3849.0,4072.0,4015.0,5086.0,3982.0,4854.0,4847.0,6066.0,4728.0,4957.0,4540.0,5475.0,4979.0,4320.0,5362.0,4965.0,4597.0,5761.0,2959.0,6382.0,5232.0,5133.0,4657.0,5405.0,4061.0,4638.0,4623.0,5169.0,4178.0,4224.0,5811.0,4577.0,4397.0,6560.0,6441.0,7170.0,6493.0,7753.0,6034.0,8937.0
Koszty ogólnego zarządu,517.0,425.0,472.0,685.0,583.0,651.0,529.0,11261.0,3897.0,1937.0,3083.0,6619.0,3673.0,3241.0,2615.0,5416.0,3908.0,3889.0,2281.0,3308.0,3282.0,3105.0,3342.0,3985.0,3689.0,3456.0,2953.0,3270.0,3449.0,2475.0,3753.0,5921.0,4574.0,5056.0,4912.0,2918.0,4610.0,3893.0,3895.0,4852.0,4871.0,5511.0,4696.0,6853.0,4706.0,5005.0,3756.0,5088.0,4285.0,3196.0,5260.0,4274.0,5308.0,5661.0,3527.0,7849.0,4869.0,4822.0,4465.0,10289.0,6365.0,6984.0,5897.0,8989.0,6311.0,7076.0,8354.0,8051.0,6508.0,8058.0,7571.0,7381.0,7352.0,7853.0,6705.0,8120.0
Zysk ze sprzedaży,-290.0,-138.0,-73.0,-164.0,4.0,-397.0,-112.0,11845.0,1380.0,673.0,5691.0,31790.0,1441.0,5046.0,4584.0,9704.0,-3478.0,1770.0,-614.0,4220.0,-711.0,1830.0,2918.0,9685.0,3620.0,4170.0,831.0,11180.0,-293.0,2446.0,3256.0,8462.0,4385.0,8551.0,7382.0,7317.0,4906.0,5787.0,2017.0,9202.0,12540.0,4825.0,8473.0,11766.0,-190.0,886.0,1808.0,5118.0,2914.0,5303.0,-2886.0,8370.0,-1913.0,-777.0,2514.0,10800.0,-1096.0,3412.0,4818.0,5065.0,1281.0,597.0,261.0,16073.0,3075.0,2940.0,3064.0,15778.0,-1092.0,6211.0,9598.0,8241.0,-3425.0,-2888.0,2454.0,18979.0
Pozostałe przychody operacyjne,8.0,9.0,4.0,74.0,2.0,17.0,37.0,6743.0,1428.0,205.0,14.0,-703.0,456.0,-196.0,245.0,1030.0,1724.0,1408.0,-1999.0,499.0,193.0,276.0,487.0,24.0,553.0,1739.0,401.0,327.0,1457.0,-297.0,306.0,465.0,897.0,500.0,574.0,3472.0,2212.0,-210.0,2034.0,1515.0,1455.0,265.0,906.0,-228.0,553.0,554.0,279.0,-263.0,426.0,415.0,851.0,441.0,468.0,660.0,338.0,619.0,450.0,1352.0,243.0,532.0,922.0,607.0,2129.0,2405.0,1200.0,605.0,1028.0,2440.0,1009.0,1567.0,1244.0,4579.0,1541.0,60.0,700.0,3169.0
Pozostałe koszty operacyjne,4.0,107.0,2.0,105.0,27.0,1.0,21.0,3240.0,158.0,364.0,129.0,4196.0,197.0,1168.0,62.0,1057.0,144.0,449.0,1250.0,1351.0,412.0,187.0,484.0,5065.0,376.0,982.0,995.0,-541.0,1000.0,565.0,186.0,2274.0,1225.0,1697.0,3907.0,7491.0,2433.0,3075.0,981.0,2034.0,585.0,3977.0,454.0,2384.0,1106.0,3735.0,1458.0,2444.0,1223.0,1101.0,242.0,1018.0,703.0,577.0,2345.0,1478.0,759.0,1641.0,228.0,4633.0,328.0,763.0,4303.0,1746.0,815.0,1436.0,953.0,4517.0,1575.0,2580.0,8076.0,7287.0,1823.0,9590.0,930.0,3314.0
Zysk operacyjny (EBIT),-286.0,-236.0,-71.0,-195.0,-21.0,-381.0,-96.0,15348.0,2650.0,514.0,5576.0,26891.0,1700.0,3682.0,4767.0,9677.0,-1898.0,2729.0,-3863.0,3368.0,-930.0,1919.0,2921.0,4644.0,3797.0,4927.0,237.0,12048.0,164.0,1584.0,3376.0,6653.0,4057.0,7354.0,4049.0,3298.0,4685.0,2502.0,3070.0,8683.0,13410.0,1113.0,8925.0,9154.0,-743.0,-2295.0,629.0,2411.0,2117.0,4617.0,-2277.0,7793.0,-2148.0,-694.0,507.0,9941.0,-1405.0,3123.0,4833.0,964.0,1875.0,441.0,-1913.0,16732.0,3460.0,2109.0,3139.0,13701.0,-1658.0,5198.0,2766.0,5533.0,-3707.0,-12418.0,2224.0,18834.0
Przychody finansowe,38.0,34.0,83.0,16.0,24.0,20.0,-11.0,2557.0,438.0,716.0,673.0,1445.0,1239.0,1751.0,648.0,189.0,1087.0,987.0,1705.0,560.0,1009.0,859.0,1218.0,329.0,1035.0,774.0,1704.0,39.0,804.0,1399.0,32.0,738.0,666.0,-6.0,155.0,257.0,115.0,76.0,239.0,213.0,148.0,99.0,188.0,160.0,286.0,802.0,211.0,346.0,284.0,6.0,220.0,307.0,103.0,1347.0,156.0,579.0,242.0,422.0,441.0,623.0,519.0,168.0,663.0,219.0,803.0,64.0,154.0,431.0,379.0,880.0,1011.0,577.0,811.0,669.0,374.0,419.0
