,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,4751.0,3464.0,3190.0,3074.0,3478.0,774.0,234.0,206.0,3682.0,8344.0,5577.0,9814.0,5325.0,13491.0,2579.0,8971.0,6979.0,25697.0,19380.0,69306.0,25338.0,19215.0,15894.0,48807.0,9263.0,14403.0,9430.0,82202.0,17969.0,17878.0,11994.0,46165.0,14527.0,14407.0,8769.0,41212.0,22958.0,7504.0,11912.0,30572.0,10956.0,18412.0,35537.0,28230.0,13277.0,9186.0,9341.0,41452.0,21462.0,14835.0,10886.0,21747.0,14865.0,13946.0,6997.0,7971.0,46575.0,13514.0,8428.0,8534.0,29243.0,7770.0,19776.0,15059.0,64028.0,35862.0,21365.0,16969.0,18310.0,21140.0,4162.0,31938.0,16481.0,5749.0,38002.0,18134.0
Techniczny koszt wytworzenia produkcji sprzedanej,3767.0,3303.0,2713.0,2453.0,3207.0,730.0,288.0,562.0,2408.0,5167.0,3811.0,6892.0,3518.0,8961.0,1181.0,5618.0,5180.0,16623.0,15324.0,55390.0,20078.0,13963.0,12585.0,32732.0,7751.0,10432.0,7981.0,59900.0,14054.0,10719.0,9225.0,36542.0,11506.0,12436.0,6514.0,35299.0,18768.0,8391.0,12389.0,22227.0,9055.0,15945.0,28383.0,23727.0,10928.0,7621.0,7495.0,29269.0,15343.0,11135.0,8297.0,18002.0,12059.0,11030.0,5710.0,7512.0,37091.0,11172.0,6363.0,6075.0,20840.0,5536.0,16248.0,11582.0,40108.0,19666.0,13224.0,11484.0,12335.0,14732.0,2307.0,21151.0,9230.0,3943.0,27352.0,12922.0
Koszty sprzedaży,257.0,236.0,241.0,220.0,168.0,105.0,27.0,0.0,948.0,1783.0,1610.0,2075.0,1700.0,2113.0,1754.0,2255.0,1908.0,2702.0,2162.0,3045.0,2226.0,2714.0,2627.0,3250.0,2242.0,2532.0,2362.0,2763.0,2540.0,3138.0,1969.0,1949.0,1273.0,1403.0,1020.0,1452.0,769.0,419.0,275.0,3028.0,729.0,883.0,760.0,937.0,497.0,653.0,673.0,890.0,739.0,612.0,660.0,762.0,752.0,366.0,498.0,493.0,715.0,645.0,688.0,650.0,556.0,610.0,479.0,570.0,2143.0,-928.0,689.0,655.0,621.0,315.0,275.0,470.0,475.0,188.0,525.0,1087.0
Koszty ogólnego zarządu,517.0,443.0,497.0,458.0,449.0,486.0,532.0,307.0,414.0,641.0,474.0,480.0,479.0,545.0,516.0,729.0,863.0,1390.0,1019.0,1376.0,1314.0,1386.0,1366.0,1128.0,1629.0,1654.0,2002.0,2102.0,1972.0,1668.0,1777.0,2206.0,1474.0,1984.0,1937.0,1536.0,1867.0,1381.0,2030.0,1770.0,1591.0,1647.0,1462.0,1445.0,1558.0,1364.0,1299.0,1144.0,1320.0,1400.0,1178.0,1103.0,1080.0,1097.0,1026.0,948.0,1094.0,996.0,798.0,481.0,712.0,927.0,700.0,679.0,1034.0,1179.0,1041.0,978.0,738.0,2560.0,843.0,1065.0,1325.0,1056.0,984.0,1114.0
Zysk ze sprzedaży,210.0,-518.0,-261.0,-57.0,-346.0,-547.0,-613.0,-663.0,-88.0,753.0,-318.0,367.0,-372.0,1872.0,-872.0,369.0,-972.0,4982.0,875.0,9495.0,1720.0,1152.0,-684.0,11697.0,-2359.0,-215.0,-2915.0,17437.0,-597.0,2353.0,-977.0,5468.0,274.0,-1416.0,-702.0,2925.0,1554.0,-2687.0,-2782.0,3547.0,-419.0,-63.0,4932.0,2121.0,294.0,-452.0,-126.0,10149.0,4060.0,1688.0,751.0,1880.0,974.0,1453.0,-237.0,-982.0,7675.0,701.0,579.0,1328.0,7135.0,697.0,2349.0,2228.0,20743.0,15945.0,6411.0,3852.0,4616.0,3533.0,737.0,9252.0,5451.0,562.0,9141.0,3011.0
Pozostałe przychody operacyjne,44.0,60.0,102.0,402.0,50.0,558.0,1728.0,476.0,47.0,15.0,22.0,38.0,198.0,-94.0,150.0,115.0,178.0,212.0,198.0,215.0,44.0,429.0,670.0,10355.0,638.0,1631.0,248.0,12003.0,474.0,1074.0,779.0,8299.0,778.0,1451.0,1589.0,1048.0,1509.0,259.0,990.0,4559.0,1613.0,533.0,501.0,3240.0,830.0,513.0,2801.0,325.0,1637.0,378.0,-251.0,2452.0,1197.0,335.0,720.0,1189.0,480.0,3995.0,206.0,-2173.0,265.0,430.0,309.0,625.0,432.0,331.0,8.0,469.0,862.0,3727.0,-313.0,1249.0,804.0,878.0,883.0,1295.0
Pozostałe koszty operacyjne,79.0,104.0,71.0,781.0,38.0,25.0,280.0,1817.0,12.0,141.0,59.0,40.0,117.0,1.0,132.0,39.0,110.0,131.0,169.0,427.0,168.0,558.0,719.0,779.0,281.0,364.0,464.0,4590.0,459.0,1908.0,432.0,2600.0,535.0,4203.0,397.0,8804.0,4918.0,6749.0,4840.0,10035.0,1141.0,512.0,340.0,899.0,422.0,384.0,696.0,766.0,316.0,266.0,134.0,4073.0,265.0,228.0,189.0,2007.0,426.0,2903.0,139.0,2733.0,246.0,2712.0,192.0,250.0,363.0,843.0,62.0,456.0,992.0,361.0,684.0,1150.0,4172.0,497.0,380.0,-3090.0
Zysk operacyjny (EBIT),175.0,-562.0,-230.0,-436.0,-334.0,-14.0,835.0,-2004.0,-53.0,627.0,-355.0,365.0,-291.0,1777.0,-854.0,445.0,-904.0,5063.0,904.0,9283.0,1596.0,1023.0,-733.0,21273.0,-2002.0,1052.0,-3131.0,24850.0,-582.0,1519.0,-630.0,11167.0,517.0,-4168.0,490.0,-4831.0,-1855.0,-9177.0,-6632.0,-1929.0,53.0,-42.0,5093.0,4462.0,702.0,-323.0,1979.0,9708.0,5381.0,1800.0,366.0,259.0,1906.0,1560.0,294.0,-1800.0,7729.0,1793.0,646.0,-3578.0,7154.0,-1585.0,2466.0,2603.0,20812.0,15433.0,6357.0,3865.0,4486.0,6899.0,-260.0,9351.0,2083.0,943.0,9644.0,7396.0
Przychody finansowe,12.0,12.0,-8.0,-10.0,0.0,42.0,8.0,134.0,47.0,3.0,7.0,-1.0,353.0,341.0,333.0,110.0,1502.0,166.0,264.0,-617.0,109.0,148.0,3259.0,-3083.0,50.0,5.0,41.0,2297.0,17.0,46.0,18.0,579.0,34.0,511.0,301.0,-846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
