,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,63.49,42.4,58.33,56.74,54.44,74.96,38.87,26.58,6.68,-5.63
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,41.26,43.45,59.26,55.42,56.32,62.63,54.52,54.79,34.43,9.8
Koszty sprzedaży,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,243.35,38.34,55.58,60.69,48.17,124.78,-8.68,-54.72,-90.81,-50.74
Pozostałe przychody operacyjne,,,,,,-800.0,-100.0,-27.27,-57.14,114.29,,-100.0,200.0,266.67
Pozostałe koszty operacyjne,,,,,19200.0,-589.69,2900.0,-99.66,-75.65,100.42,-93.33,0.0,-87.23,50.0
Zysk operacyjny (EBIT),,,,,173.66,162.08,49.74,138.14,80.47,42.36,-5.82,-55.02,-90.26,-50.31
Przychody finansowe,,,,,-56.25,200.0,-26.09,30.43,971.43,-366.67,52.94,143.75,-92.0,139.42
Koszty finansowe,,,,,-150.0,100.0,,5.0,-5.0,,,976.19,90.48,46.99
Pozostałe przychody (koszty),,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,195.67,192.66,47.57,150.09,95.07,10.34,-5.99,-69.81,-90.44,-60.94
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,195.67,192.66,47.57,150.09,95.07,10.34,-5.99,-69.81,-90.44,-60.94
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,,,,186.27,238.96,45.64,187.53,105.14,67.51,12.93,-62.57,-87.98,-75.74
Zysk netto akcjonariuszy jednostki dominującej,,,,,186.27,238.96,45.64,187.53,105.14,67.51,12.93,-62.57,-87.98,-75.74
Aktywa trwałe,,,,,308.95,782.75,952.47,1023.24,230.85,78.88,78.44,79.46,76.12,92.62
Wartości niematerialne i prawne,,,,,411.35,1249.22,1676.82,2007.62,277.6,87.04,81.57,83.74,81.54,84.13
Rzeczowe składniki majątku trwałego,,,,,133.94,37.0,26.29,13.41,-18.65,8.39,20.82,11.47,-7.64,513.47
Należności długoterminowe,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,,,47.22,87.37,75.43,65.05,-71.93
Aktywa obrotowe,,,,,115.78,11.97,10.06,8.65,42.65,114.42,75.53,39.79,0.16,-35.69
Zapasy,,,,,,,,,305.88,-43.08,500.0,190.38,104.35,-100.0
Należności krótkoterminowe,,,,,62.44,43.87,204.17,59.92,38.44,165.03,231.96,386.58,94.14,-86.0
Inwestycje krótkoterminowe,,,,,65.87,53.16,72.76,105.95,125.58,103.81,54.98,-3.06,-15.76,-48.46
Środki pieniężne i inne aktywa pieniężne,,,,,65.87,53.16,72.76,105.95,125.58,106.11,54.98,-3.06,-15.76,-49.04
Pozostałe aktywa obrotowe,,,,,372.13,-95.92,-87.9,-92.72,-90.48,528.12,-0.55,222.82,203.88,613.93
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,
Aktywa razem,,,,,154.53,121.77,115.83,109.59,103.32,94.26,77.12,60.94,40.01,31.3
Kapitał własny akcjonariuszy jednostki dominującej,,,,,146.14,176.7,138.91,146.13,138.69,115.75,96.78,69.35,45.03,22.28
Kapitał (fundusz) podstawowy,,,,,1062.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,28.06,67.87,67.87,0.0,244.63,244.63,244.63,703.49,133.14,133.14
Udziały niekontrolujące,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,,,,,,,
Z tytułu dostaw i usług,,,,,47.51,44.29,77.27,70.78,66.19,122.22,90.6,94.42,70.13,66.44
Kredyty i pożyczki,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,,,44.77,34.41,51.94,50.77,52.52,63.34,41.86,57.02,41.05,170.69
Inne zobowiązania krótkoterminowe,,,,,42.4,27.51,34.71,34.78,40.29,16.82,-1.79,19.13,10.22,227.13
Rozliczenia międzyokresowe,,,,,1332.56,106.55,129.7,73.76,59.09,53.59,44.5,33.05,19.18,-100.0
Pasywa razem,,,,,154.53,121.77,115.83,109.59,103.32,94.26,77.12,60.94,40.01,31.3
Przepływy pieniężne z działalności operacyjnej,,,,,202.83,32440.0,526.27,778.89,16.95,5.07,-11.46,-62.07,3.25,-19.66
Amortyzacja,,,,,210.34,450.0,482.5,276.67,222.22,90.34,128.33,160.18,876.55,-510.15
Przepływy pieniężne z działalności inwestycyjnej,,,,,-249.4,-2922.73,-2951.72,-873.17,26.14,-3.98,-74.01,-115.41,-65.08,11.28
CAPEX (niematerialne i rzeczowe),,,,,249.4,2922.73,2951.72,873.17,-26.14,3.98,76.84,112.28,65.08,26.17
Przepływy pieniężne z działalności finansowej,,,,,123.45,-103.03,,100.0,-100.0,100.0,,,,
Emisja akcji,,,,,,-100.0,,,,,,,,
Dywidenda,,,,,-100.0,100.0,,,,,,,,
Przepływy pieniężne razem,,,,,730.0,-33.9,215.04,905.13,326.46,15.75,-117.7,-242.73,-78.91,-383.86
