,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,2391.0,2771.0,3055.0,3463.0,3909.0,3946.0,4837.0,5428.0,6037.0,6904.0,6717.0,6871.0,6440.0,6515.0
Techniczny koszt wytworzenia produkcji sprzedanej,2128.0,2205.0,2285.0,2593.0,3006.0,3163.0,3639.0,4030.0,4699.0,5144.0,5623.0,6238.0,6317.0,5648.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,263.0,566.0,770.0,870.0,903.0,783.0,1198.0,1398.0,1338.0,1760.0,1094.0,633.0,123.0,867.0
Pozostałe przychody operacyjne,0.0,3.0,11.0,11.0,7.0,-21.0,0.0,8.0,3.0,3.0,8.0,0.0,9.0,11.0
Pozostałe koszty operacyjne,1.0,97.0,1.0,291.0,193.0,-475.0,30.0,1.0,47.0,2.0,2.0,1.0,6.0,3.0
Zysk operacyjny (EBIT),262.0,472.0,780.0,590.0,717.0,1237.0,1168.0,1405.0,1294.0,1761.0,1100.0,632.0,126.0,875.0
Przychody finansowe,32.0,-39.0,23.0,-23.0,14.0,39.0,17.0,-16.0,150.0,-104.0,26.0,7.0,12.0,41.0
Koszty finansowe,40.0,-3.0,0.0,20.0,-20.0,0.0,0.0,21.0,-21.0,249.0,12.0,226.0,-2.0,366.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,254.0,436.0,803.0,547.0,751.0,1276.0,1185.0,1368.0,1465.0,1408.0,1114.0,413.0,140.0,550.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,254.0,436.0,803.0,547.0,751.0,1276.0,1185.0,1368.0,1465.0,1408.0,1114.0,413.0,140.0,550.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,204.0,326.0,653.0,393.0,584.0,1105.0,951.0,1130.0,1198.0,1851.0,1074.0,423.0,144.0,449.0
Zysk netto akcjonariuszy jednostki dominującej,204.0,326.0,653.0,393.0,584.0,1105.0,951.0,1130.0,1198.0,1851.0,1074.0,423.0,144.0,449.0
Aktywa trwałe,447.0,458.0,446.0,469.0,1828.0,4043.0,4694.0,5268.0,6048.0,7232.0,8376.0,9454.0,10652.0,13930.0
Wartości niematerialne i prawne,282.0,258.0,233.0,223.0,1442.0,3481.0,4140.0,4700.0,5445.0,6511.0,7517.0,8636.0,9885.0,11989.0
Rzeczowe składniki majątku trwałego,165.0,200.0,213.0,246.0,386.0,274.0,269.0,279.0,314.0,297.0,325.0,311.0,290.0,1822.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,288.0,285.0,289.0,289.0,424.0,534.0,507.0,477.0,119.0
Aktywa obrotowe,1781.0,2757.0,3528.0,4245.0,3843.0,3087.0,3883.0,4612.0,5482.0,6619.0,6816.0,6447.0,5491.0,4257.0
Zapasy,0.0,0.0,0.0,0.0,17.0,65.0,28.0,52.0,69.0,37.0,168.0,151.0,141.0,0.0
Należności krótkoterminowe,205.0,326.0,144.0,247.0,333.0,469.0,438.0,395.0,461.0,1243.0,1454.0,1922.0,895.0,174.0
Inwestycje krótkoterminowe,1289.0,1646.0,1872.0,1950.0,2138.0,2521.0,3234.0,4016.0,4823.0,5138.0,5012.0,3893.0,4063.0,2648.0
Środki pieniężne i inne aktywa pieniężne,1289.0,1646.0,1872.0,1950.0,2138.0,2521.0,3234.0,4016.0,4823.0,5196.0,5012.0,3893.0,4063.0,2648.0
Pozostałe aktywa obrotowe,287.0,785.0,1512.0,2048.0,1355.0,32.0,183.0,149.0,129.0,201.0,182.0,481.0,392.0,1435.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,2228.0,3215.0,3974.0,4714.0,5671.0,7130.0,8577.0,9880.0,11530.0,13851.0,15192.0,15901.0,16143.0,18187.0
Kapitał własny akcjonariuszy jednostki dominującej,1320.0,1618.0,2272.0,2664.0,3249.0,4477.0,5428.0,6557.0,7755.0,9659.0,10681.0,11104.0,11247.0,11811.0
Kapitał (fundusz) podstawowy,43.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,873.0,666.0,666.0,1118.0,1118.0,1118.0,1118.0,1118.0,3853.0,3853.0,3853.0,8983.0,8983.0,8983.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.0
Z tytułu dostaw i usług,381.0,368.0,396.0,462.0,562.0,531.0,702.0,789.0,934.0,1180.0,1338.0,1534.0,1589.0,1964.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0
Zobowiązania krótkoterminowe,822.0,895.0,978.0,1040.0,1190.0,1203.0,1486.0,1568.0,1815.0,1965.0,2108.0,2462.0,2560.0,5319.0
Inne zobowiązania krótkoterminowe,441.0,527.0,582.0,578.0,628.0,672.0,784.0,779.0,881.0,785.0,770.0,928.0,971.0,2568.0
Rozliczenia międzyokresowe,86.0,702.0,724.0,1010.0,1232.0,1450.0,1663.0,1755.0,1960.0,2227.0,2403.0,2335.0,2336.0,0.0
Pasywa razem,2228.0,3215.0,3974.0,4714.0,5671.0,7130.0,8577.0,9880.0,11530.0,13851.0,15192.0,15901.0,16143.0,18187.0
Przepływy pieniężne z działalności operacyjnej,530.0,-5.0,255.0,180.0,1605.0,1617.0,1597.0,1582.0,1877.0,1699.0,1414.0,600.0,1938.0,1365.0
Amortyzacja,29.0,32.0,40.0,60.0,90.0,176.0,233.0,226.0,290.0,335.0,532.0,588.0,2832.0,-1374.0
Przepływy pieniężne z działalności inwestycyjnej,-415.0,-44.0,-29.0,-82.0,-1450.0,-1330.0,-885.0,-798.0,-1071.0,-1383.0,-1540.0,-1719.0,-1768.0,-1227.0
CAPEX (niematerialne i rzeczowe),415.0,44.0,29.0,82.0,1450.0,1330.0,885.0,798.0,1071.0,1383.0,1565.0,1694.0,1768.0,1745.0
Przepływy pieniężne z działalności finansowej,-145.0,462.0,0.0,-20.0,34.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1035.0
Emisja akcji,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,136.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-30.0,413.0,226.0,78.0,189.0,273.0,712.0,784.0,806.0,316.0,-126.0,-1119.0,170.0,-897.0
