,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,15.59,12.48,7.43,5.83,7.25,-8.85,7.46,2.63,0.4,0.45,5.04,9.03,10.82,27.04,19.93,31.88,24.27,22.24,18.33,18.6,21.13,18.56,34.37,26.62,38.6,27.98,10.01,2.32,-1.29,-0.45,8.21,19.1,0.89,-2.53,-6.89,5.06,14.17,2.35,5.41,2.99,4.38,1.43,6.98,-1.98,-9.82,-3.06,-3.37,-0.73,-0.77,-12.21,-9.39,-15.26,-10.68,4.41,2.62,8.44,-5.5,-24.53,-17.17,-10.97,-1.38,10.16,10.57,7.03,0.62,33.96,7.33,16.5,17.79,19.78,18.12,4.23,6.86
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,7.85,5.87,14.8,12.69,3.08,-4.33,0.16,-3.73,1.53,-1.22,-1.27,4.16,17.79,35.66,27.53,47.4,18.89,13.02,26.01,17.25,26.3,28.23,35.48,40.35,48.92,37.08,12.06,5.06,-1.42,-2.37,10.0,18.08,1.33,-3.34,-12.88,-2.73,10.91,-1.81,10.39,10.38,12.83,3.62,8.12,-2.93,-16.16,2.5,-9.12,-5.93,1.45,-9.23,-2.84,-9.24,-7.82,2.84,1.74,11.93,-4.28,-14.6,-17.62,-17.34,2.27,7.15,18.87,20.76,13.57,40.25,22.57,26.97,10.06,13.22,8.34,-0.38,4.72
Koszty sprzedaży,,,,,21.28,26.11,14.43,7.11,16.97,-7.61,7.56,2.97,4.75,5.2,11.57,11.71,4.36,20.84,14.34,14.86,15.31,14.51,-3.61,11.99,9.29,10.01,33.56,20.34,32.2,5.56,3.38,-22.96,-14.08,-9.11,-11.0,24.42,-4.71,-2.58,3.81,6.4,-1.53,2.86,-4.42,-4.29,3.91,11.34,11.56,5.05,4.42,7.23,4.8,-4.64,-44.66,-45.08,-47.59,-50.42,2.87,19.58,19.67,20.81,15.14,-21.21,-15.91,-21.57,-14.19,7.2,5.76,14.2,4.43,17.71,9.41,6.59,9.1,-4.6,1.97,-1.8,1.39
Koszty ogólnego zarządu,,,,,-1.81,26.77,21.26,20.72,-4.31,-21.25,9.59,16.14,3.13,-4.86,-5.19,9.1,-3.35,2.44,1.02,-11.53,26.98,14.02,9.49,44.62,0.43,13.16,16.79,-11.04,28.87,-2.23,8.51,30.05,-9.39,5.03,10.15,11.67,20.78,45.32,15.56,27.56,21.53,10.79,8.13,-0.17,-16.51,30.56,-17.01,-3.44,2.38,-33.44,25.4,36.5,60.08,53.91,23.09,-16.65,8.64,26.41,0.26,38.09,-10.26,-52.95,-21.84,-11.4,-8.02,41.73,15.91,-16.78,-17.1,1.87,-17.13,-3.94,18.64,21.16,31.37,7.48,4.92
Zysk ze sprzedaży,,,,,76.28,0.0,-44.16,-22.78,17.01,-28.68,66.85,20.89,-12.2,4.64,33.39,21.67,5.16,14.14,13.76,35.51,63.82,193.14,30.35,21.6,30.54,-5.77,39.75,7.55,16.7,48.53,10.85,13.64,18.87,24.01,22.96,21.41,-2.14,-18.94,-2.68,23.81,36.41,18.64,-2.98,-11.47,-11.63,-43.11,10.42,-3.77,-1.78,-28.61,-0.6,4.95,5.48,-16.06,-9.45,-5.0,-35.47,-76.29,-2.3,-22.95,-20.12,-216.46,-13.33,25.34,-0.71,-45.97,-18.65,-21.44,-53.47,66.58,-52.5,-11.23,131.61,1373.52,160.78,36.43,26.43
Pozostałe przychody operacyjne,,,,,29.95,2809.36,12769.27,160.63,39.84,-94.3,-99.47,-66.87,8.94,-1.41,104.55,11.03,16.92,22.09,-11.11,130.79,-51.75,-23.45,-42.08,-14.92,15.45,-65.86,10.07,-8.09,-4.33,216.67,59.48,-139.82,215.64,-52.02,37.3,82.95,128.16,-29.96,-24.48,-572.97,-91.83,181.93,-77.47,152.21,28.67,-67.09,510.53,61.54,322.83,-5.19,-72.41,-46.67,-78.92,114.38,292.71,158.93,4.27,-58.79,-166.31,-117.24,-142.69,988.37,1351.2,-628.0,134.25,-105.56,-100.29,65.93,4.0,82.05,-2077.78,97.58,373.08,-1485.71,138.27,12200.0,-101.63
Pozostałe koszty operacyjne,,,,,40.55,-21.01,181.35,57.09,12.87,-43.89,-75.38,-42.79,-52.75,23.71,92.27,136.2,21.34,28.22,-53.62,-51.58,-42.27,-5.03,0.25,7.51,113.23,32.76,-2.22,-5.38,8.8,65.52,123.23,13.68,-53.05,-82.49,54.52,52.93,314.41,125.28,-77.31,-199.79,-25.7,-86.8,-168.06,112.42,-70.92,176.25,343.13,62.36,-38.17,47.06,-41.33,129.41,66.84,21.54,34.88,-93.67,-55.66,36.46,-40.15,-859.52,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,79.34,330.78,310.44,-23.25,18.25,-78.41,-76.89,21.7,-6.93,-0.25,30.6,13.7,4.81,12.41,20.19,50.07,64.62,199.23,29.81,20.83,28.45,-12.46,40.77,7.64,16.71,50.0,8.76,10.07,23.58,35.81,21.69,21.14,-2.59,-21.79,1.35,33.44,31.3,26.66,-1.63,-14.1,-9.58,-45.12,8.45,-3.86,0.52,-30.27,-0.76,3.59,2.98,-14.82,-8.83,-2.84,-35.06,-84.63,-4.32,-22.72,-20.57,-87.78,2.84,22.72,-0.12,-2371.59,-29.94,-20.95,-53.38,67.18,-53.71,-10.81,132.42,1312.5,168.78,38.02,25.55
Przychody finansowe,,,,,-50.44,-100.58,724.0,-64.89,-54.07,553.33,-36.41,49.28,-88.04,204.41,93.89,16.99,616.0,-16.91,-37.8,100.0,241.9,135.47,440.51,32.57,83.17,545.93,-66.74,-123.94,71.99,-94.95,502.46,629.74,-58.04,1311.36,-33.78,-3.64,137.7,14.33,53.13,-13.0,-32.87,-24.13,16.77,44.59,15.96,19.43,-10.61,-39.03,-25.45,173.26,-69.91,-31.3,-43.19,-79.75,92.29,-26.61,11.99,40.92,-21.28,2.15,19.44,-38.74,-84.36,-68.23,-78.77,-102.93,500.78,8.67,199.44,11785.19,168.65,1381.69,327.83,20.35,41.07,-5.8,-15.57
