,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,52113.0,44997.0,52298.0,68210.0,60238.0,50612.0,56182.0,72190.0,64603.0,46134.0,60372.0,74086.0,64861.0,46340.0,63412.0,80776.0,71881.0,58869.0,76052.0,106531.0,89330.0,71964.0,89994.0,126349.0,108208.0,85319.0,120923.0,159983.0,149978.0,109191.0,133026.0,163702.0,148037.0,108703.0,143941.0,194964.0,149352.0,105952.0,134022.0,204835.0,170511.0,108447.0,141271.0,210959.0,177979.0,110001.0,151133.0,206783.0,160507.0,106638.0,146042.0,205269.0,159277.0,93620.0,132324.0,173943.0,142272.0,97749.0,135789.0,188630.0,134446.0,73769.0,112476.0,167930.0,132590.0,81267.0,124360.0,179732.0,133410.0,108864.0,133474.0,209394.0,157143.0,130393.0,157656.0,218252.0,167928.0
Techniczny koszt wytworzenia produkcji sprzedanej,30324.0,26138.0,29271.0,35374.0,32704.0,27673.0,33604.0,39862.0,33712.0,26474.0,33659.0,38374.0,34229.0,26151.0,33231.0,39969.0,40317.0,35476.0,42380.0,58913.0,47933.0,40096.0,53402.0,69073.0,60538.0,51415.0,72349.0,96945.0,90155.0,70479.0,81075.0,101847.0,88875.0,68806.0,89184.0,120259.0,90054.0,66511.0,77699.0,116979.0,99881.0,65310.0,85774.0,129117.0,112696.0,67677.0,92738.0,125340.0,94489.0,69372.0,84277.0,117905.0,95857.0,62971.0,81887.0,107016.0,88359.0,64761.0,83315.0,119783.0,84581.0,55308.0,68639.0,99014.0,86499.0,59261.0,81592.0,119571.0,98238.0,83114.0,100009.0,151814.0,108116.0,94104.0,108349.0,151244.0,113219.0
Koszty sprzedaży,10808.0,10724.0,11358.0,16059.0,13108.0,13524.0,12997.0,17200.0,15333.0,12495.0,13980.0,17710.0,16062.0,13145.0,15598.0,19784.0,16763.0,15884.0,17835.0,22724.0,19329.0,18189.0,17192.0,25448.0,21125.0,20010.0,22962.0,30624.0,27927.0,21122.0,23739.0,23592.0,23995.0,19198.0,21128.0,29352.0,22865.0,18702.0,21933.0,31231.0,22515.0,19236.0,20963.0,29890.0,23396.0,21418.0,23386.0,31398.0,24429.0,22967.0,24508.0,29942.0,13519.0,12614.0,12845.0,14846.0,13907.0,15084.0,15372.0,17935.0,16013.0,11884.0,12926.0,14066.0,13740.0,12740.0,13670.0,16064.0,14349.0,14996.0,14957.0,17123.0,15655.0,14306.0,15252.0,16814.0,15873.0
Koszty ogólnego zarządu,6315.0,4781.0,4685.0,4995.0,6201.0,6061.0,5681.0,6030.0,5934.0,4773.0,6226.0,7003.0,6120.0,4541.0,5903.0,7640.0,5915.0,4652.0,5963.0,6759.0,7511.0,5304.0,6529.0,9775.0,7543.0,6002.0,7625.0,8696.0,9721.0,5868.0,8274.0,11309.0,8808.0,6163.0,9114.0,12629.0,10638.0,8956.0,10532.0,16109.0,12928.0,9922.0,11388.0,16082.0,10793.0,12954.0,9451.0,15528.0,11050.0,8622.0,11852.0,21195.0,17689.0,13270.0,14589.0,17665.0,19218.0,16774.0,14627.0,24394.0,17246.0,7893.0,11432.0,21613.0,15863.0,11187.0,13251.0,17987.0,13151.0,11396.0,10981.0,17278.0,15603.0,13807.0,14426.0,18570.0,16370.0
Zysk ze sprzedaży,4666.0,3354.0,6984.0,11782.0,8225.0,3354.0,3900.0,9098.0,9624.0,2392.0,6507.0,10999.0,8450.0,2503.0,8680.0,13383.0,8886.0,2857.0,9874.0,18135.0,14557.0,8375.0,12871.0,22053.0,19002.0,7892.0,17987.0,23718.0,22175.0,11722.0,19938.0,26954.0,26359.0,14536.0,24515.0,32724.0,25795.0,11783.0,23858.0,40516.0,35187.0,13979.0,23146.0,35870.0,31094.0,7952.0,25558.0,34517.0,30539.0,5677.0,25405.0,36227.0,32212.0,4765.0,23003.0,34416.0,20788.0,1130.0,22475.0,26518.0,16606.0,-1316.0,19479.0,33237.0,16488.0,-1921.0,15847.0,26110.0,7672.0,-642.0,7527.0,23179.0,17769.0,8176.0,19629.0,31624.0,22466.0
Pozostałe przychody operacyjne,197.0,299.0,192.0,315.0,256.0,8699.0,24709.0,821.0,358.0,496.0,132.0,272.0,390.0,489.0,270.0,302.0,456.0,597.0,240.0,697.0,220.0,457.0,139.0,593.0,254.0,156.0,153.0,545.0,243.0,494.0,244.0,-217.0,767.0,237.0,335.0,-37.0,1750.0,166.0,253.0,-249.0,143.0,468.0,57.0,130.0,184.0,154.0,348.0,210.0,778.0,146.0,96.0,112.0,164.0,313.0,377.0,290.0,171.0,129.0,-250.0,-50.0,-73.0,1404.0,3128.0,-364.0,25.0,-78.0,-9.0,-124.0,26.0,-14.0,-196.0,-3.0,123.0,-222.0,75.0,363.0,-2.0
Pozostałe koszty operacyjne,619.0,1047.0,654.0,790.0,870.0,827.0,1840.0,1241.0,982.0,464.0,453.0,710.0,464.0,574.0,871.0,1677.0,563.0,736.0,404.0,812.0,325.0,699.0,405.0,873.0,693.0,928.0,396.0,826.0,754.0,1536.0,884.0,939.0,354.0,269.0,1366.0,1436.0,1467.0,606.0,310.0,-1433.0,1090.0,80.0,-211.0,178.0,317.0,221.0,513.0,289.0,196.0,325.0,301.0,663.0,327.0,395.0,406.0,42.0,145.0,539.0,243.0,-319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),4244.0,2606.0,6522.0,11307.0,7611.0,11226.0,26769.0,8678.0,9000.0,2424.0,6186.0,10561.0,8376.0,2418.0,8079.0,12008.0,8779.0,2718.0,9710.0,18020.0,14452.0,8133.0,12605.0,21773.0,18563.0,7120.0,17744.0,23437.0,21664.0,10680.0,19298.0,25798.0,26772.0,14504.0,23484.0,31251.0,26078.0,11343.0,23801.0,41700.0,34240.0,14367.0,23414.0,35822.0,30961.0,7885.0,25393.0,34438.0,31121.0,5498.0,25200.0,35676.0,32049.0,4683.0,22974.0,34664.0,20814.0,720.0,21982.0,26787.0,16533.0,88.0,22607.0,32873.0,16513.0,-1999.0,15838.0,25986.0,7698.0,-656.0,7331.0,23176.0,17892.0,7954.0,19704.0,31987.0,22464.0
Przychody finansowe,918.0,2568.0,25.0,786.0,455.0,-15.0,206.0,276.0,209.0,68.0,131.0,412.0,25.0,207.0,254.0,482.0,179.0,172.0,158.0,964.0,612.0,405.0,854.0,1278.0,1121.0,2616.0,284.0,-306.0,1928.0,132.0,1711.0,1621.0,809.0,1863.0,1133.0,1562.0,1923.0,2130.0,1735.0,1359.0,1291.0,1616.0,2026.0,1965.0,1497.0,1930.0,1811.0,1198.0,1116.0,5274.0,545.0,823.0,634.0,1068.0,1048.0,604.0,710.0,1505.0,825.0,617.0,848.0,922.0,129.0,196.0,180.0,-27.0,775.0,213.0,539.0,3155.0,2082.0,3156.0,2306.0,3797.0,2937.0,2973.0,1947.0
