,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,59.69,156.56,25.47,-12.61,67.12,-2.45,-22.14,4.68,-31.06,-33.73,-2.96,-18.69,104.6,74.34,27.9,53.96,-39.63,-21.19,-0.4,-11.2,-47.14,-34.84,-47.22,-22.43,-4.07,-19.87,35.3,89.42,279.6,158.73,88.47,19.41,54.74,47.5,13.39,-10.44,-21.82,-19.26,-14.94,17.2,-0.95,-8.06,0.99,-11.07,1.81,3.82,11.03,13.05,62.3,33.15,40.19,99.71,26.83
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,51.75,196.39,28.16,-16.05,61.63,-0.85,-19.0,17.8,-27.64,-43.16,-3.06,-14.82,98.36,109.99,26.07,36.88,-41.96,-25.28,-3.6,-13.1,-42.85,-33.13,-42.54,-20.85,2.79,-10.98,24.15,95.67,237.68,138.45,99.38,61.84,55.84,49.38,11.78,-30.6,-23.09,-19.86,-14.87,16.05,-0.77,-6.41,0.1,-13.66,-0.16,0.05,12.09,14.66,65.72,36.35,40.71,99.62,26.1
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,0.45,25.55,9.59,65.41,-14.16,14.91,-0.54,-32.63,24.65,-5.34,26.65,39.1,9.31,-21.85,-19.2,-8.64,6.78,50.4,53.42,8.12,2.55,-7.32,-27.97,-4.18,7.24,-11.78,16.61,-17.86,-6.05,8.91,5.19,41.82,-6.63,11.36,5.62,-21.05,26.11,-7.42,1.84,27.0,0.83,1.65,10.01,16.47,-15.13,31.56,-2.08,5.41,29.23,3.66,27.28,9.21,16.02
Zysk ze sprzedaży,,,,,28.41,-1.39,-7.79,4.32,82.05,-36.13,-96.19,-99.72,-608.88,171.52,-322.33,-21791.43,46.32,-78.36,648.37,255.66,49.85,101.77,83.65,6.44,-339.86,-88.97,-170.76,-47.79,-47.23,-1066.97,187.99,68.78,80.52,144.49,-100.72,-817.94,56.25,0.62,12971.88,100.01,35.1,9.32,-42.58,25777.78,-77.99,-121.29,62.16,231.22,459.36,795.04,-28.06,-30.74,-43.56,-49.09,23.09,230.32,171.66
Pozostałe przychody operacyjne,,,,,82.11,33.18,-59.78,2053.66,-17.16,-23.86,643.84,-2.04,39.29,41.01,279.28,223.82,-22.87,242.32,-88.06,-77.38,381.38,-52.41,83.33,40.09,-44.59,5.62,0.11,-3.21,-60.32,82.72,-62.02,65.66,-9.42,-86.64,-54.23,-95.05,-66.99,-91.83,354.78,584.4,281.09,-1404.76,-29.69,261.55,-12.24,1239.42,100.0,-78.1,4.15,-86.8,-57.37,942.67,-35.46,221.36,854.91,-96.36,153.46
Pozostałe koszty operacyjne,,,,,55.79,333.94,-271.32,12.9,95.95,108.65,72.75,1060.71,45.34,34.08,1199.21,-27.08,-43.89,11.07,-40.04,21.18,285.41,13.29,193.07,-12.29,-77.67,-94.52,-65.76,-78.36,236.12,277.84,6.9,17.8,0.58,-126.04,-95.77,-99.22,-82.49,128.02,589.47,5660.0,146.06,1613.73,-57.25,17.36,-60.54,-79.75,50.89,152.96,17.95,213.56,31.95,726.78,24.64,-91.17,6.28,-89.53,-4.36
Zysk operacyjny (EBIT),,,,,35.25,-7.52,-2.02,18.22,82.69,-50.85,-82.92,-110.52,-733.22,221.13,31.68,-193.6,50.64,-81.44,75.2,334.24,119.56,79.15,57.67,15.88,-1016.13,-64.91,-189.33,-34.6,-115.92,-483.69,177.95,71.68,74.61,160.04,-97.76,-697.84,68.39,-11.79,5154.02,100.86,77.91,-23.96,-39.73,698.83,-76.07,-15.31,69.51,39.11,1355.75,146.85,-36.53,-18.14,-46.92,-23.78,144.47,175.63,198.22
Przychody finansowe,,,,,-68.43,160.27,-74.45,53.75,-1.67,150.84,21.98,97.88,1.45,-30.68,7.21,-93.25,-8.35,-92.89,-126.72,831.75,-54.04,53.03,167.3,-3.07,48.44,502.97,-185.05,54.48,11.64,-89.9,203.3,28.67,-34.53,227.64,887.23,-70.2,24.54,23.33,-79.53,-81.31,-52.41,-82.29,34.74,1188.89,-77.97,165.91,-37.89,153.94,3390.0,758.97,336.48,66.68,-59.03,-59.65,95.68,-50.83,-26.43
